HPO_ID	term_id	name	N_OMIM_diseases_with_term	frac_OMIM_diseases_with_term	N_Orpha_diseases_with_term	frac_Orpha_diseases_with_term
HP:0000001	1	All	0	0	0	0
HP:0000002	2	Abnormality of body height	4	0.0005	3	0.0007
HP:0000003	3	Multicystic kidney dysplasia	24	0.0029	58	0.0135
HP:0000005	5	Mode of inheritance	0	0	0	0
HP:0000006	6	Autosomal dominant inheritance	3511	0.4198	0	0
HP:0000007	7	Autosomal recessive inheritance	4198	0.5020	0	0
HP:0000008	8	Abnormal morphology of female internal genitalia	1	0.0001	22	0.0051
HP:0000009	9	Functional abnormality of the bladder	2	0.0002	16	0.0037
HP:0000010	10	Recurrent urinary tract infections	61	0.0073	61	0.0142
HP:0000011	11	Neurogenic bladder	27	0.0032	25	0.0058
HP:0000012	12	Urinary urgency	44	0.0053	25	0.0058
HP:0000013	13	Hypoplasia of the uterus	40	0.0048	11	0.0026
HP:0000014	14	Abnormality of the bladder	0	0	11	0.0026
HP:0000015	15	Bladder diverticulum	9	0.0011	9	0.0021
HP:0000016	16	Urinary retention	6	0.0007	26	0.0061
HP:0000017	17	Nocturia	4	0.0005	7	0.0016
HP:0000019	19	Urinary hesitancy	2	0.0002	2	0.0005
HP:0000020	20	Urinary incontinence	100	0.0120	76	0.0178
HP:0000021	21	Megacystis	9	0.0011	5	0.0012
HP:0000022	22	Abnormal male internal genitalia morphology	0	0	2	0.0005
HP:0000023	23	Inguinal hernia	244	0.0292	168	0.0392
HP:0000024	24	Prostatitis	2	0.0002	8	0.0019
HP:0000025	25	Functional abnormality of male internal genitalia	0	0	1	0.0002
HP:0000026	26	Male hypogonadism	12	0.0014	22	0.0051
HP:0000027	27	Azoospermia	43	0.0051	33	0.0077
HP:0000028	28	Cryptorchidism	487	0.0582	431	0.1007
HP:0000029	29	Testicular atrophy	16	0.0019	6	0.0014
HP:0000030	30	Testicular gonadoblastoma	0	0	2	0.0005
HP:0000031	31	Epididymitis	6	0.0007	5	0.0012
HP:0000032	32	Abnormal male external genitalia morphology	2	0.0002	2	0.0005
HP:0000033	33	Ambiguous genitalia, male	9	0.0011	9	0.0021
HP:0000034	34	Hydrocele testis	33	0.0039	21	0.0049
HP:0000035	35	Abnormal testis morphology	0	0	20	0.0047
HP:0000036	36	Abnormal penis morphology	0	0	14	0.0033
HP:0000037	37	Male pseudohermaphroditism	11	0.0013	19	0.0044
HP:0000039	39	Epispadias	5	0.0006	17	0.0040
HP:0000040	40	Long penis	8	0.0010	10	0.0023
HP:0000041	41	Chordee	19	0.0023	9	0.0021
HP:0000042	42	Absent external genitalia	3	0.0004	2	0.0005
HP:0000044	44	Hypogonadotropic hypogonadism	49	0.0059	64	0.0149
HP:0000045	45	Abnormal scrotum morphology	0	0	9	0.0021
HP:0000046	46	Small scrotum	37	0.0044	39	0.0091
HP:0000047	47	Hypospadias	220	0.0263	185	0.0432
HP:0000048	48	Bifid scrotum	29	0.0035	37	0.0086
HP:0000049	49	Shawl scrotum	25	0.0030	17	0.0040
HP:0000050	50	Hypoplastic male external genitalia	10	0.0012	5	0.0012
HP:0000051	51	Perineal hypospadias	8	0.0010	7	0.0016
HP:0000052	52	Urethral atresia, male	0	0	1	0.0002
HP:0000053	53	Macroorchidism	14	0.0017	23	0.0054
HP:0000054	54	Micropenis	227	0.0271	92	0.0215
HP:0000055	55	Abnormal female external genitalia morphology	4	0.0005	12	0.0028
HP:0000056	56	Abnormal clitoris morphology	0	0	4	0.0009
HP:0000058	58	Abnormal labia morphology	0	0	3	0.0007
HP:0000059	59	Hypoplastic labia majora	30	0.0036	12	0.0028
HP:0000060	60	Clitoral hypoplasia	12	0.0014	12	0.0028
HP:0000061	61	Ambiguous genitalia, female	7	0.0008	7	0.0016
HP:0000062	62	Ambiguous genitalia	43	0.0051	67	0.0157
HP:0000063	63	Fused labia minora	3	0.0004	3	0.0007
HP:0000064	64	Hypoplastic labia minora	8	0.0010	13	0.0030
HP:0000065	65	Labial hypertrophy	3	0.0004	2	0.0005
HP:0000066	66	Labial hypoplasia	14	0.0017	4	0.0009
HP:0000067	67	Urethral atresia, female	0	0	0	0
HP:0000068	68	Urethral atresia	3	0.0004	3	0.0007
HP:0000069	69	Abnormality of the ureter	4	0.0005	31	0.0072
HP:0000070	70	Ureterocele	5	0.0006	9	0.0021
HP:0000071	71	Ureteral stenosis	5	0.0006	4	0.0009
HP:0000072	72	Hydroureter	36	0.0043	24	0.0056
HP:0000073	73	Ureteral duplication	18	0.0022	14	0.0033
HP:0000074	74	Ureteropelvic junction obstruction	18	0.0022	11	0.0026
HP:0000075	75	Renal duplication	7	0.0008	16	0.0037
HP:0000076	76	Vesicoureteral reflux	94	0.0112	87	0.0203
HP:0000077	77	Abnormality of the kidney	16	0.0019	85	0.0199
HP:0000078	78	Abnormality of the genital system	4	0.0005	26	0.0061
HP:0000079	79	Abnormality of the urinary system	6	0.0007	51	0.0119
HP:0000080	80	Abnormality of reproductive system physiology	0	0	1	0.0002
HP:0000081	81	Duplicated collecting system	22	0.0026	6	0.0014
HP:0000083	83	Renal insufficiency	136	0.0163	174	0.0406
HP:0000085	85	Horseshoe kidney	66	0.0079	57	0.0133
HP:0000086	86	Ectopic kidney	33	0.0039	23	0.0054
HP:0000089	89	Renal hypoplasia	96	0.0115	32	0.0075
HP:0000090	90	Nephronophthisis	42	0.0050	3	0.0007
HP:0000091	91	Abnormal renal tubule morphology	2	0.0002	15	0.0035
HP:0000092	92	Renal tubular atrophy	23	0.0028	4	0.0009
HP:0000093	93	Proteinuria	141	0.0169	113	0.0264
HP:0000095	95	Abnormal renal glomerulus morphology	1	0.0001	0	0
HP:0000096	96	Glomerular sclerosis	14	0.0017	6	0.0014
HP:0000097	97	Focal segmental glomerulosclerosis	57	0.0068	9	0.0021
HP:0000098	98	Tall stature	54	0.0065	47	0.0110
HP:0000099	99	Glomerulonephritis	16	0.0019	25	0.0058
HP:0000100	100	Nephrotic syndrome	71	0.0085	49	0.0114
HP:0000103	103	Polyuria	44	0.0053	0	0
HP:0000104	104	Renal agenesis	50	0.0060	38	0.0089
HP:0000105	105	Enlarged kidney	35	0.0042	20	0.0047
HP:0000107	107	Renal cyst	81	0.0097	33	0.0077
